epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4164,0.84241,1.1598,1.27698,0.14063,0.19796,0.14168,0.05969,1.62272,3.60538,2.17645,0.00332117,0.00332117,0.0701095
2,133.761,0.79716,0.99654,1.24034,0.29302,0.65624,0.32609,0.17315,1.42297,1.64819,2.0075,0.00643271,0.00643271,0.0398877
3,201.684,0.74704,0.92252,1.19419,0.67982,0.83645,0.83106,0.68838,0.71835,0.97124,1.36092,0.00932205,0.00932205,0.0094437
4,263.61,0.70948,0.86397,1.16984,0.80051,0.88596,0.96302,0.79574,0.69636,0.75759,1.32883,0.0090001,0.0090001,0.0090001
5,326.177,0.67658,0.80483,1.15676,0.64338,0.89723,0.95357,0.74995,0.87639,1.0472,1.60865,0.0086668,0.0086668,0.0086668
6,387.762,0.66353,0.78207,1.14226,0.80168,0.8916,0.96536,0.76047,0.9102,0.73692,1.67402,0.0083335,0.0083335,0.0083335
7,448.962,0.64919,0.76165,1.13584,0.81681,0.68437,0.81951,0.55116,0.9748,1.03111,1.51488,0.0080002,0.0080002,0.0080002
8,513.879,0.63463,0.73246,1.1294,0.89234,0.96775,0.97093,0.8072,0.71922,0.53157,1.4089,0.0076669,0.0076669,0.0076669
9,579.388,0.61628,0.71016,1.11125,0.91779,0.95069,0.9792,0.84608,0.58677,0.46811,1.22837,0.0073336,0.0073336,0.0073336
10,646.115,0.61147,0.69088,1.11374,0.87322,0.84007,0.96277,0.80949,0.67037,0.5993,1.33904,0.0070003,0.0070003,0.0070003
11,709.763,0.60563,0.67021,1.1112,0.8995,0.88525,0.96679,0.81738,0.66175,0.51933,1.30078,0.006667,0.006667,0.006667
12,771.166,0.5976,0.65347,1.09998,0.89345,0.89056,0.98457,0.84825,0.58758,0.47537,1.23947,0.0063337,0.0063337,0.0063337
13,835.67,0.58436,0.63199,1.10057,0.98098,0.9642,0.98653,0.84022,0.59941,0.3735,1.25416,0.0060004,0.0060004,0.0060004
14,900.958,0.57373,0.62718,1.09129,0.73022,0.90963,0.8834,0.69046,0.74901,0.65925,1.46005,0.0056671,0.0056671,0.0056671
15,965.759,0.57488,0.61324,1.0941,0.8756,0.93218,0.97002,0.81517,0.64413,0.4486,1.2914,0.0053338,0.0053338,0.0053338
16,1030.59,0.55873,0.61003,1.08389,0.67748,0.94875,0.97746,0.83333,0.64513,0.97098,1.32469,0.0050005,0.0050005,0.0050005
17,1091.93,0.55305,0.59028,1.08199,0.90741,0.88122,0.9888,0.84341,0.56989,0.50151,1.22459,0.0046672,0.0046672,0.0046672
18,1153.37,0.54556,0.57479,1.07439,0.67562,0.93933,0.95447,0.77785,0.75683,0.84225,1.44349,0.0043339,0.0043339,0.0043339
19,1214.48,0.53357,0.56536,1.06933,0.89882,0.94604,0.97683,0.82306,0.6272,0.44311,1.27527,0.0040006,0.0040006,0.0040006
20,1275.68,0.52582,0.5559,1.06872,0.97198,0.97625,0.99121,0.85287,0.59715,0.34539,1.26644,0.0036673,0.0036673,0.0036673
21,1332.58,0.35982,0.37552,1.06842,0.91534,0.93428,0.97062,0.86255,0.49513,0.42856,1.12455,0.003334,0.003334,0.003334
22,1389.16,0.34269,0.31758,1.05186,0.60502,0.77327,0.71736,0.62263,0.59836,1.0999,1.27385,0.0030007,0.0030007,0.0030007
23,1446.03,0.33237,0.3227,1.04538,0.97033,0.96986,0.99308,0.86536,0.57115,0.32314,1.23436,0.0026674,0.0026674,0.0026674
24,1502.87,0.31336,0.27299,1.03153,0.93464,0.95507,0.98544,0.87334,0.50723,0.35846,1.16691,0.0023341,0.0023341,0.0023341
25,1559.48,0.3024,0.25616,1.02249,0.94535,0.95903,0.98621,0.87085,0.54106,0.36377,1.17318,0.0020008,0.0020008,0.0020008
26,1616.11,0.29097,0.22707,1.01553,0.94859,0.91514,0.98389,0.8785,0.47554,0.35082,1.11687,0.0016675,0.0016675,0.0016675
27,1672.91,0.28413,0.21554,1.0137,0.93892,0.93348,0.98193,0.8742,0.4912,0.37454,1.13506,0.0013342,0.0013342,0.0013342
28,1729.72,0.27598,0.19289,1.00407,0.96965,0.93789,0.982,0.87401,0.48988,0.31546,1.15305,0.0010009,0.0010009,0.0010009
29,1786.63,0.26425,0.1792,0.99936,0.92938,0.99531,0.99148,0.89594,0.45693,0.30665,1.11048,0.0006676,0.0006676,0.0006676
30,1843.53,0.25742,0.1645,0.99241,0.98066,0.94666,0.9849,0.88799,0.45586,0.29252,1.10664,0.0003343,0.0003343,0.0003343
