epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.973,0.69526,1.02376,1.18829,0.78156,0.6591,0.95182,0.7208,0.95204,1.76084,1.82198,0.000332117,0.000332117,0.0671204
2,125.156,0.63499,0.78908,1.14365,0.86337,0.83437,0.91947,0.66713,0.87048,0.86306,1.54755,0.000643271,0.000643271,0.0340983
3,186.637,0.61141,0.7359,1.12332,0.85463,0.88745,0.94888,0.80949,0.62373,0.63473,1.29851,0.000932205,0.000932205,0.00105386
4,247.776,0.59144,0.68942,1.10964,0.6717,0.89521,0.88856,0.70454,0.77841,1.57382,1.51798,0.00090001,0.00090001,0.00090001
5,309.393,0.56632,0.64933,1.10089,0.85719,0.85752,0.93204,0.79134,0.6424,0.57478,1.29674,0.00086668,0.00086668,0.00086668
6,371.066,0.54025,0.6171,1.08122,0.91667,0.96622,0.97273,0.8373,0.61378,0.45254,1.26112,0.00083335,0.00083335,0.00083335
7,432.352,0.53407,0.60045,1.07801,0.87602,0.95946,0.97531,0.84924,0.50552,0.43108,1.15642,0.00080002,0.00080002,0.00080002
8,493.802,0.51824,0.55551,1.07129,0.95196,0.89009,0.97556,0.84202,0.52851,0.42846,1.19579,0.00076669,0.00076669,0.00076669
9,555.192,0.50269,0.54395,1.05848,0.90675,0.94228,0.98008,0.85461,0.49992,0.39573,1.14969,0.00073336,0.00073336,0.00073336
10,616.586,0.49005,0.52324,1.05547,0.94354,0.85277,0.95557,0.82748,0.5696,0.52441,1.21377,0.00070003,0.00070003,0.00070003
11,677.764,0.48849,0.5151,1.05515,0.90513,0.96614,0.98051,0.84405,0.57023,0.41137,1.20945,0.0006667,0.0006667,0.0006667
12,740.099,0.47197,0.48839,1.04081,0.94678,0.88486,0.98041,0.87061,0.49109,0.42279,1.12344,0.00063337,0.00063337,0.00063337
13,802.797,0.47445,0.48283,1.04598,0.87769,0.90002,0.93737,0.81927,0.53337,0.51318,1.20601,0.00060004,0.00060004,0.00060004
14,864.815,0.46424,0.46395,1.03915,0.75584,0.88095,0.93037,0.82245,0.50427,0.77889,1.1715,0.00056671,0.00056671,0.00056671
15,926.253,0.45729,0.44076,1.03821,0.78884,0.90863,0.94366,0.83974,0.50755,0.65803,1.14417,0.00053338,0.00053338,0.00053338
16,987.363,0.44635,0.43738,1.02907,0.85033,0.79787,0.94054,0.83041,0.51567,0.64543,1.15155,0.00050005,0.00050005,0.00050005
17,1048.35,0.44026,0.41229,1.02864,0.79791,0.97168,0.96188,0.85864,0.5202,0.48406,1.18707,0.00046672,0.00046672,0.00046672
18,1109.26,0.43041,0.40544,1.02125,0.88912,0.92971,0.97186,0.85369,0.51733,0.45957,1.182,0.00043339,0.00043339,0.00043339
19,1170.5,0.42244,0.38672,1.01771,0.89057,0.92508,0.94805,0.82356,0.56038,0.54109,1.22272,0.00040006,0.00040006,0.00040006
20,1231.42,0.41355,0.36839,1.0149,0.91845,0.91625,0.96759,0.86387,0.48006,0.41411,1.1311,0.00036673,0.00036673,0.00036673
21,1287.94,0.27038,0.2136,1.00455,0.83837,0.95828,0.97277,0.86154,0.49885,0.44576,1.16133,0.0003334,0.0003334,0.0003334
22,1344.55,0.26433,0.19541,0.99698,0.89352,0.94666,0.97433,0.87304,0.48614,0.39227,1.13739,0.00030007,0.00030007,0.00030007
23,1402,0.25357,0.18192,0.98654,0.86013,0.93813,0.96291,0.85746,0.48382,0.4257,1.14701,0.00026674,0.00026674,0.00026674
24,1458.67,0.24386,0.17342,0.98168,0.88447,0.96573,0.97601,0.86178,0.50705,0.4028,1.17373,0.00023341,0.00023341,0.00023341
25,1515.38,0.23586,0.15779,0.97391,0.91136,0.96017,0.96754,0.86361,0.46994,0.36763,1.14294,0.00020008,0.00020008,0.00020008
26,1572.22,0.22271,0.15152,0.9657,0.89995,0.94439,0.94242,0.85277,0.44808,0.42751,1.1179,0.00016675,0.00016675,0.00016675
27,1629.04,0.21665,0.14253,0.96484,0.91938,0.94253,0.9792,0.86989,0.50995,0.35791,1.21048,0.00013342,0.00013342,0.00013342
28,1685.78,0.21046,0.13777,0.95599,0.89168,0.95463,0.94715,0.84783,0.48695,0.40371,1.17908,0.00010009,0.00010009,0.00010009
29,1742.56,0.19812,0.1269,0.9526,0.89202,0.9639,0.97692,0.86652,0.49032,0.37241,1.18931,6.676e-05,6.676e-05,6.676e-05
30,1799.41,0.19024,0.12244,0.94488,0.8836,0.97167,0.96556,0.86479,0.47306,0.36087,1.17586,3.343e-05,3.343e-05,3.343e-05
