epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.921,0.6711,1.03575,1.17418,0.27111,0.7027,0.52873,0.42129,0.66648,1.56126,1.3074,3.32117e-05,3.32117e-05,0.0668215
2,125.062,0.54937,0.73735,1.09537,0.82971,0.89663,0.94223,0.81384,0.54747,0.58922,1.19049,6.43271e-05,6.43271e-05,0.0335193
3,186.912,0.51106,0.64951,1.06823,0.93259,0.90558,0.97679,0.8781,0.49275,0.46822,1.12849,9.32205e-05,9.32205e-05,0.000214875
4,248.327,0.48842,0.59166,1.05451,0.88201,0.93852,0.97149,0.86355,0.51486,0.50079,1.15485,9.0001e-05,9.0001e-05,9.0001e-05
5,310.023,0.47153,0.54696,1.0488,0.89606,0.92784,0.97199,0.87377,0.46529,0.44084,1.10774,8.6668e-05,8.6668e-05,8.6668e-05
6,371.799,0.45717,0.50879,1.04054,0.91313,0.9284,0.97675,0.86743,0.47897,0.41327,1.12683,8.3335e-05,8.3335e-05,8.3335e-05
7,433.158,0.44956,0.48559,1.0356,0.9101,0.95237,0.98169,0.87883,0.45147,0.39122,1.09445,8.0002e-05,8.0002e-05,8.0002e-05
8,495.034,0.43661,0.45557,1.02874,0.90166,0.97838,0.98169,0.85896,0.53512,0.39036,1.18061,7.6669e-05,7.6669e-05,7.6669e-05
9,556.369,0.42511,0.4378,1.02062,0.92603,0.93314,0.97478,0.86499,0.47371,0.41002,1.14647,7.3336e-05,7.3336e-05,7.3336e-05
10,617.664,0.41407,0.41978,1.01847,0.90941,0.91265,0.96705,0.86549,0.50535,0.45598,1.16183,7.0003e-05,7.0003e-05,7.0003e-05
11,678.928,0.41021,0.40353,1.01543,0.95073,0.95543,0.97362,0.87316,0.49437,0.3629,1.13996,6.667e-05,6.667e-05,6.667e-05
12,740.204,0.40091,0.38764,1.00656,0.94546,0.9425,0.97023,0.87059,0.4801,0.39223,1.12753,6.3337e-05,6.3337e-05,6.3337e-05
13,801.381,0.39634,0.37013,1.0086,0.89192,0.90509,0.96643,0.85608,0.51716,0.52073,1.19854,6.0004e-05,6.0004e-05,6.0004e-05
14,862.473,0.38977,0.36124,1.00142,0.93616,0.92911,0.96249,0.84663,0.55342,0.43922,1.21125,5.6671e-05,5.6671e-05,5.6671e-05
15,923.729,0.38428,0.34479,1.0013,0.92218,0.97094,0.97651,0.85308,0.54825,0.372,1.22555,5.3338e-05,5.3338e-05,5.3338e-05
16,985.105,0.37805,0.33915,0.9963,0.92037,0.94163,0.97666,0.86337,0.54008,0.39413,1.21275,5.0005e-05,5.0005e-05,5.0005e-05
17,1050.42,0.37206,0.32279,0.99513,0.91499,0.95972,0.97888,0.85738,0.5201,0.41436,1.19557,4.6672e-05,4.6672e-05,4.6672e-05
