epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1133,0.67637,1.01725,1.17673,0.66658,0.92982,0.88704,0.7087,0.75081,0.88568,1.56942,0.000332117,0.000332117,0.0671204
2,136.513,0.61871,0.78967,1.13081,0.88098,0.90945,0.95344,0.7992,0.69067,0.55789,1.40488,0.000652142,0.000652142,0.0341071
3,210.082,0.61125,0.73797,1.12599,0.75377,0.87068,0.91598,0.79931,0.57566,0.93551,1.22749,0.000958836,0.000958836,0.00108049
4,272.99,0.57892,0.67876,1.10498,0.82852,0.97199,0.97342,0.81864,0.59254,0.52085,1.24561,0.000940006,0.000940006,0.000940006
5,335.38,0.56004,0.65257,1.09375,0.85335,0.87832,0.92815,0.80802,0.53641,0.54802,1.18943,0.000920008,0.000920008,0.000920008
6,399.469,0.54825,0.62239,1.08589,0.87401,0.90673,0.95906,0.82578,0.57512,0.47484,1.25049,0.00090001,0.00090001,0.00090001
7,462.598,0.53839,0.60539,1.08264,0.90619,0.89954,0.95676,0.78513,0.66948,0.60404,1.31594,0.000880012,0.000880012,0.000880012
8,537.325,0.52225,0.57502,1.072,0.79872,0.87833,0.93714,0.81917,0.54842,0.60536,1.1865,0.000860014,0.000860014,0.000860014
9,638.579,0.51073,0.55708,1.06683,0.87868,0.87639,0.94764,0.83483,0.49557,0.48912,1.1404,0.000840016,0.000840016,0.000840016
10,759.698,0.49593,0.54205,1.05541,0.92894,0.87435,0.96182,0.84796,0.50451,0.46309,1.15672,0.000820018,0.000820018,0.000820018
11,831.665,0.48335,0.51421,1.047,0.92484,0.83291,0.96782,0.8483,0.58564,0.47333,1.2268,0.00080002,0.00080002,0.00080002
12,895.407,0.48634,0.50049,1.04863,0.80762,0.87719,0.95112,0.83696,0.54645,0.64505,1.18873,0.000780022,0.000780022,0.000780022
13,958.134,0.47716,0.49113,1.04559,0.79945,0.84614,0.9424,0.81854,0.54517,0.62814,1.18841,0.000760024,0.000760024,0.000760024
14,1021.89,0.47678,0.47968,1.0436,0.66054,0.90038,0.88818,0.77426,0.52564,0.9641,1.16859,0.000740026,0.000740026,0.000740026
15,1084.28,0.46581,0.46637,1.04242,0.84489,0.90243,0.9274,0.81811,0.53007,0.55743,1.17477,0.000720028,0.000720028,0.000720028
16,1145.5,0.46058,0.45696,1.03583,0.6926,0.90943,0.94291,0.82991,0.50266,0.92446,1.14203,0.00070003,0.00070003,0.00070003
17,1206.48,0.4543,0.44931,1.03613,0.78208,0.98046,0.94265,0.82195,0.52342,0.53544,1.17556,0.000680032,0.000680032,0.000680032
18,1268.91,0.45116,0.42851,1.03227,0.85637,0.96103,0.95989,0.84485,0.52397,0.42526,1.17779,0.000660034,0.000660034,0.000660034
19,1330.96,0.44613,0.40616,1.02867,0.95412,0.91192,0.97556,0.86614,0.50764,0.40022,1.1511,0.000640036,0.000640036,0.000640036
20,1393.48,0.44554,0.41627,1.02796,0.9174,0.94125,0.97126,0.85856,0.48792,0.40507,1.14353,0.000620038,0.000620038,0.000620038
21,1457.11,0.44033,0.39081,1.02392,0.91696,0.88802,0.96108,0.853,0.49804,0.47062,1.13067,0.00060004,0.00060004,0.00060004
22,1520.72,0.42987,0.39558,1.01941,0.7272,0.91228,0.95486,0.83574,0.52138,0.93919,1.19978,0.000580042,0.000580042,0.000580042
23,1584.65,0.41669,0.38053,1.01712,0.87522,0.90612,0.95,0.82842,0.55152,0.50428,1.19408,0.000560044,0.000560044,0.000560044
24,1648.77,0.41673,0.36992,1.01521,0.92194,0.89569,0.94875,0.85167,0.49138,0.46318,1.14189,0.000540046,0.000540046,0.000540046
25,1713.14,0.41721,0.35505,1.0158,0.87263,0.9156,0.95201,0.8416,0.49354,0.45814,1.14911,0.000520048,0.000520048,0.000520048
26,1777.74,0.41508,0.35407,1.01219,0.89508,0.91123,0.95702,0.86252,0.48381,0.43327,1.1345,0.00050005,0.00050005,0.00050005
27,1843.1,0.40168,0.34715,1.00726,0.88605,0.86787,0.93347,0.81756,0.50401,0.54532,1.17122,0.000480052,0.000480052,0.000480052
28,1906.66,0.39413,0.32747,1.00092,0.88117,0.93314,0.92617,0.82973,0.46706,0.49875,1.13606,0.000460054,0.000460054,0.000460054
29,1968.77,0.39471,0.33099,1.00226,0.88329,0.91654,0.95287,0.84683,0.50797,0.49227,1.17952,0.000440056,0.000440056,0.000440056
